id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,url,user_mention,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,media,lat,lng
379032362111090689,https://twitter.com/SafeensS/status/379032362111090689,2013-09-15 00:02:11+00:00,https://t.co/ozFUHcKGuc How Allah is exposing Govt of #SaudiArabia #jordan #turkey #Qatar as enemy of #islam during #syria &amp; #Egypt Unrest,en,0,SafeensS,https://www.youtube.com/watch?v=_K39SNO1DJE&feature=youtube_gdata_player,,SaudiArabia,lang:en #syria,,,,,
379032361083486208,https://twitter.com/mustafa1920/status/379032361083486208,2013-09-15 00:02:11+00:00,"Largely unseen, #Syria president’s younger brother Maher Assad key to regime’s survival http://t.co/gH22swgvCW #سوريا",en,0,mustafa1920,http://www.washingtonpost.com/world/middle_east/largely-unseen-syrian-presidents-younger-brother-maher-assad-key-to-regimes-survival/2013/09/13/b8c0bfb6-1cb4-11e3-80ac-96205cacb45a_story.html,,Syria,lang:en #syria,,,,,
379032338908209154,https://twitter.com/Collinsdw/status/379032338908209154,2013-09-15 00:02:06+00:00,"So barry ""pivoted"" on his #redline in #Syria  prompting #putin to spike the diplomatic football &amp; point to the scoreboard. #tcot #UniteBlue",en,0,Collinsdw,,,redline,lang:en #syria,,,,,
379032338769784832,https://twitter.com/gplaucio/status/379032338769784832,2013-09-15 00:02:06+00:00,"RT @PeterClifford1: #Syria UPDATED: While the diplomats  talked, #FSA captured 4 army bases, 1 city and 2 villages in Deraa province: http:…",en,7,gplaucio,,PeterClifford1,Syria,lang:en #syria,,,,,
379032337117233152,https://twitter.com/Anoniamru12/status/379032337117233152,2013-09-15 00:02:05+00:00,@FINGALOLS USA Rebels to False Flag Israel! The Real Reason Why They Want War On Syria! http://t.co/BO8FUfkrFb #Syria,en,0,Anoniamru12,http://www.youtube.com/watch?v=uW8xmfYXzMk,FINGALOLS,Syria,lang:en #syria,FINGALOLS,379006012910358528,,,
379032325138284544,https://twitter.com/AhmaeAghaei/status/379032325138284544,2013-09-15 00:02:03+00:00,Ramadi protesters condemn Ashraf massacre http://t.co/rOA0pJCkB1 #tcot #egypt #Euronews #politics #newsfeed #FOX #Syria #LONDON #sms #health,en,0,AhmaeAghaei,http://is.gd/RdNXyI,,tcot,lang:en #syria,,,,,
379032300706463744,https://twitter.com/Anoniamru12/status/379032300706463744,2013-09-15 00:01:57+00:00,@pfimrite USA Rebels to False Flag Israel! The Real Reason Why They Want War On Syria! http://t.co/BO8FUfkrFb #Syria,en,0,Anoniamru12,http://www.youtube.com/watch?v=uW8xmfYXzMk,pfimrite,Syria,lang:en #syria,pfimrite,378934048103485440,,,
379032300098297856,https://twitter.com/hanjixin/status/379032300098297856,2013-09-15 00:01:57+00:00,"@hannahgarrard Chapter VII intervention was used against #Iraq. 
#Russia wouldn't agree to this if they think #Syria is under threat by it.",en,0,hanjixin,,hannahgarrard,Iraq,lang:en #syria,hannahgarrard,379029827929399296,,,
379032298873946112,https://twitter.com/GraceMurphy2/status/379032298873946112,2013-09-15 00:01:56+00:00,RT @Somaliasupport3: President truman speech for Nuking Japan #hiroshima #nagasaki.. while the US slams #Syria over alleged crimes http://t…,en,6,GraceMurphy2,,Somaliasupport3,hiroshima,lang:en #syria,,,,,
379032691787567104,https://twitter.com/joshlockman/status/379032691787567104,2013-09-15 00:03:30+00:00,"Yes @NoahShachtman: Did Kerry just get outfoxed? Assad apparently gets 45 days to hide his CW, doesn't face threat of int'l force #Syria”",en,0,joshlockman,,NoahShachtman,Syria,lang:en #syria,NoahShachtman,379028551984742403,,,
379032681587027969,https://twitter.com/Maggyw519/status/379032681587027969,2013-09-15 00:03:28+00:00,"RT @EzKool: Amazing Deal Reached On Syria’s Weapons – Republicans However, Not Amused http://t.co/MKxL0Qu8WW #Syria #p2 #tcot",en,4,Maggyw519,http://bit.ly/165q1xz,EzKool,Syria,lang:en #syria,,,,,
379032653305225216,https://twitter.com/henrikperala/status/379032653305225216,2013-09-15 00:03:21+00:00,"RT @jenanmoussa: I told a rebel sniper in #Syria: Drop ur rifle for a day &amp; document life through lens of a camera. Here his pics: 
 http:/…",en,188,henrikperala,,jenanmoussa,Syria,lang:en #syria,,,,,
379032646338105344,https://twitter.com/GolamAbaseGarma/status/379032646338105344,2013-09-15 00:03:19+00:00,US ready for #Syria military strike if talks fail: Obam http://t.co/h16vkVYGiN #UN #egypt #BBC #world #ABC #Iraq #CNN #reuters #humanrights,en,0,GolamAbaseGarma,http://is.gd/bQPM5g,,Syria,lang:en #syria,,,,,
379032635508420608,https://twitter.com/gplaucio/status/379032635508420608,2013-09-15 00:03:17+00:00,"RT @PeterClifford1: #Syria As #US &amp; #Russia reach deal on Syria's CW, evidence emerges of  #Assad Chlorine gas attack 3 days ago: http://t.…",en,1,gplaucio,,PeterClifford1,Syria,lang:en #syria,,,,,
379032606114725888,https://twitter.com/worship_dancer/status/379032606114725888,2013-09-15 00:03:10+00:00,RT @sydney2m: @PattieCurran We aren’t forgetting.  #HandsOffSyria #Benghazi #Syria #justiceforbenghazi4 #AlQueda #Herosof 9/11 http://t.co/…,en,3,worship_dancer,,sydney2m,HandsOffSyria,lang:en #syria,,,,,
