id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,lat,lng,url,hashtags,query,user_mention,in_reply_to_screen_name,in_reply_to_status_id,media
378898224276594688,https://twitter.com/SujiBaeOfficial/status/378898224276594688,2013-09-14 15:09:10+00:00,"is experimenting with twitter.

#hashtag #lets #try #hashtags",en,0,SujiBaeOfficial,,,,hashtag,lang:en #hashtag,,,,
378898103471853568,https://twitter.com/eman5810/status/378898103471853568,2013-09-14 15:08:42+00:00,I think Floyd got his hands full for tonight fight. #hashtag #fightnight,en,0,eman5810,,,,hashtag,lang:en #hashtag,,,,
378898044743208963,https://twitter.com/FrtzWat/status/378898044743208963,2013-09-14 15:08:28+00:00,@Renzo_Libas #Boss #of #Hashtag #Libas,en,0,FrtzWat,,,,Boss,lang:en #hashtag,Renzo_Libas,Renzo_Libas,378897715641348096,
378897931945795585,https://twitter.com/alderwomann/status/378897931945795585,2013-09-14 15:08:01+00:00,O M G can it be 4 o'clock already???? #GEAXTIGERS #tooexcited #omgomgomg #hashtag 🎉🎊💜💛,en,0,alderwomann,31.54552502,-90.55710576,,GEAXTIGERS,lang:en #hashtag,,,,
378897903093551105,https://twitter.com/CapponiWho/status/378897903093551105,2013-09-14 15:07:54+00:00,"#icant when people #hashtag ""model"" on their #Instagram photos. Like, No. Seriously don't.",en,0,CapponiWho,40.78675527,-73.94214579,,icant,lang:en #hashtag,,,,
378897213499244545,https://twitter.com/JovialMuse/status/378897213499244545,2013-09-14 15:05:09+00:00,RT @SteveUmstead: #coffee #writing #panera #wifi #hashtag #anyoneactuallyreadhashtags,en,1,JovialMuse,,,,coffee,lang:en #hashtag,SteveUmstead,,,
378897212052623360,https://twitter.com/ericuys/status/378897212052623360,2013-09-14 15:05:09+00:00,UCT campus is gorgeous #nofilter #samsungs4 #picoftheday #hashtag #bananas http://t.co/an1X9d8fx4,en,0,ericuys,,,http://instagram.com/p/ePsOonJtyy/,nofilter,lang:en #hashtag,,,,
378897131639029760,https://twitter.com/EMJx17/status/378897131639029760,2013-09-14 15:04:50+00:00,@cedrichendjr #rememberthatday #thateverythingisaid #wasmadeintoa #hashtag?! #goodtimes #missthosedays #missyou #andSirNash @ChrisNash_,en,0,EMJx17,,,,rememberthatday,lang:en #hashtag,cedrichendjr,cedrichendjr,,
378896967457603585,https://twitter.com/ItzDuhMorgan/status/378896967457603585,2013-09-14 15:04:11+00:00,@ShelleyCoulson1 haha there ya go ! #RememberToPutHashtagsInEveryTweet #Hashtag,en,0,ItzDuhMorgan,,,,RememberToPutHashtagsInEveryTweet,lang:en #hashtag,ShelleyCoulson1,ShelleyCoulson1,378878087699525632,
378896804450172928,https://twitter.com/karencondon5/status/378896804450172928,2013-09-14 15:03:32+00:00,@SKEG_ARSE #hashtag like?,en,0,karencondon5,,,,hashtag,lang:en #hashtag,SKEG_ARSE,SKEG_ARSE,378890367644753920,
378896724124659712,https://twitter.com/HeAintReally/status/378896724124659712,2013-09-14 15:03:13+00:00,"Will the seal be unbroken? By and by lord, by and by. #Tailgate #hashtag",en,0,HeAintReally,,,,Tailgate,lang:en #hashtag,,,,
378896672509935616,https://twitter.com/FluffiiNesss/status/378896672509935616,2013-09-14 15:03:00+00:00,RT @Shenanigans421: @FluffiiNesss lol are you #hashtag hashtag#hashhtagg cash money,en,1,FluffiiNesss,,,,hashtag,lang:en #hashtag,Shenanigans421,,,
